CPF,Nome,Idade,Sexo,Email,Nota_ENEM,CRE_2o_Semestre,CRA_4o_Semestre,CRA_6o_Semestre,Abandonou,Semestre_Abandono
061.947.283-96,Maitê Nascimento,22,Feminino,maitê_nascimento_061@cepedi.com,726,9.058551373666361,8.163918561529272,5.787861126735341,Sim,7.0
612.958.430-05,Camila Sales,27,Feminino,camila_sales_612@cepedi.com,654,9.251436688262093,6.478343675905225,9.677830220076217,Sim,8.0
360.519.824-42,Arthur das Neves,20,Masculino,arthur_das_neves_360@cepedi.com,684,9.717053246595672,6.8698386068934045,,Sim,6.0
297.506.348-29,Ryan Caldeira,27,Masculino,ryan_caldeira_297@cepedi.com,755,,,,Sim,1.0
659.018.234-51,Maria Sophia Almeida,26,Feminino,maria_sophia_almeida_659@cepedi.com,773,6.254785309983314,9.892064284259181,7.069282290557184,Não,
257.340.186-35,Erick Caldeira,26,Masculino,erick_caldeira_257@cepedi.com,784,9.127281793712369,7.960234925467413,7.055486003957222,Não,
673.482.091-22,Marcela Duarte,24,Feminino,marcela_duarte_673@cepedi.com,765,7.526435478457882,5.939107962249298,9.388514013227171,Não,
587.423.096-38,Elisa Alves,18,Feminino,elisa_alves_587@cepedi.com,790,5.241235612526019,8.59211696002491,5.266346412992517,Não,
164.250.389-42,Diego Barbosa,26,Masculino,diego_barbosa_164@cepedi.com,682,8.106003273279212,,,Sim,4.0
928.351.047-04,Dr. Joaquim Farias,24,Masculino,dr._joaquim_farias_928@cepedi.com,730,9.040006901189912,,,Sim,4.0
761.254.908-58,Yuri Pereira,28,Masculino,yuri_pereira_761@cepedi.com,767,5.517721541374884,,,Sim,4.0
091.537.286-02,Yuri Duarte,19,Masculino,yuri_duarte_091@cepedi.com,648,6.651561155789633,9.41105901479473,7.887958623842941,Não,
743.610.298-22,Lorena Pires,27,Feminino,lorena_pires_743@cepedi.com,703,7.088281355762268,7.216460727869306,9.971162273874164,Não,
589.260.371-77,Pedro Novaes,24,Masculino,pedro_novaes_589@cepedi.com,785,8.466205133431451,5.7681363168978885,7.417549768472869,Sim,7.0
345.726.091-52,Lucca Pereira,18,Masculino,lucca_pereira_345@cepedi.com,642,6.679615040353733,5.313765737555522,6.806224584851455,Não,
392.058.674-38,Srta. Pietra Cardoso,19,Feminino,srta._pietra_cardoso_392@cepedi.com,742,5.101088437968871,8.912447260894798,5.064364062672674,Não,
421.709.863-40,Mirella Lopes,20,Feminino,mirella_lopes_421@cepedi.com,706,6.151654222674715,6.372322486649266,7.169894856375283,Não,
375.168.429-82,Dr. Pedro Miguel Rocha,26,Masculino,dr._pedro_miguel_rocha_375@cepedi.com,672,8.890193464484753,7.457395504824154,8.885001623669877,Não,
051.642.397-52,Ana Beatriz da Rosa,22,Feminino,ana_beatriz_da_rosa_051@cepedi.com,767,9.577668144624242,8.033430790014432,,Sim,6.0
501.469.287-76,Ana Julia Teixeira,25,Feminino,ana_julia_teixeira_501@cepedi.com,793,9.787069400129301,8.658869509091922,8.019442020551589,Não,
892.170.345-41,Bruna Vieira,18,Feminino,bruna_vieira_892@cepedi.com,771,9.545909825825568,8.760847286725285,7.925397371062676,Não,
398.176.054-93,Kamilly Santos,19,Feminino,kamilly_santos_398@cepedi.com,655,9.345779404887558,8.355337553236305,5.901692615593261,Não,
810.475.369-00,Ana Sophia da Conceição,25,Feminino,ana_sophia_da_conceição_810@cepedi.com,717,7.847230283211433,8.776664709465859,,Sim,5.0
390.651.784-57,Dr. Diego Lopes,28,Masculino,dr._diego_lopes_390@cepedi.com,687,7.2970767408073565,,,Sim,4.0
054.731.982-79,Yasmin Santos,27,Feminino,yasmin_santos_054@cepedi.com,720,5.521401995537206,9.709069861248977,5.002592565720519,Não,
687.054.219-85,Dr. Danilo da Conceição,21,Masculino,dr._danilo_da_conceição_687@cepedi.com,735,8.049777958698588,8.125438649738927,5.7923574759883705,Sim,8.0
517.630.482-17,Danilo Farias,27,Masculino,danilo_farias_517@cepedi.com,648,8.790226701225453,9.398827586265924,7.295624958817255,Não,
856.340.792-92,Natália Monteiro,27,Feminino,natália_monteiro_856@cepedi.com,667,7.985979980449478,8.96120696106143,5.027867569447444,Não,
380.249.671-03,Helena Ferreira,23,Feminino,helena_ferreira_380@cepedi.com,789,,,,Sim,1.0
801.463.752-62,Sr. Enrico Moraes,25,Masculino,sr._enrico_moraes_801@cepedi.com,677,9.9040047289494,6.009643781670793,7.351326497866938,Não,
856.790.321-12,Otávio Campos,24,Masculino,otávio_campos_856@cepedi.com,649,5.544182368678717,,,Sim,4.0
851.302.674-35,Luna Araújo,24,Feminino,luna_araújo_851@cepedi.com,654,5.486454450612542,7.101859793402141,8.61085395533789,Não,
512.879.364-82,Benício Cardoso,19,Masculino,benício_cardoso_512@cepedi.com,773,6.510221393046912,6.659314922168611,6.314948643164245,Não,
086.432.597-56,Olivia Pinto,19,Feminino,olivia_pinto_086@cepedi.com,700,6.473447100525077,8.980209738436447,8.864213170440083,Não,
461.980.723-04,Leandro Moreira,28,Masculino,leandro_moreira_461@cepedi.com,718,9.152916521541378,9.161469541512421,,Sim,5.0
610.972.583-86,Vinicius Lima,25,Masculino,vinicius_lima_610@cepedi.com,683,6.933052117077092,8.212349010896617,6.017198810616425,Não,
369.475.021-52,Maria Sophia Dias,19,Feminino,maria_sophia_dias_369@cepedi.com,769,7.675305493755584,8.495895717156722,,Sim,6.0
241.670.985-20,Raul Jesus,23,Masculino,raul_jesus_241@cepedi.com,741,6.283966114845519,,,Sim,4.0
018.246.759-76,Brenda Castro,28,Feminino,brenda_castro_018@cepedi.com,662,7.025815662365953,7.61237627518726,8.146181064963333,Não,
392.475.068-83,Srta. Carolina Fernandes,18,Feminino,srta._carolina_fernandes_392@cepedi.com,736,6.796645406884553,8.615715062097753,,Sim,6.0
026.375.814-17,Levi Cardoso,25,Masculino,levi_cardoso_026@cepedi.com,773,,,,Sim,2.0
231.468.705-17,Thiago Pinto,27,Masculino,thiago_pinto_231@cepedi.com,650,9.756433715747459,9.579528645691735,5.296423297109865,Não,
380.291.576-30,Sarah da Rosa,27,Feminino,sarah_da_rosa_380@cepedi.com,772,6.998258050096667,8.186917761041943,5.130776953308191,Não,
378.260.149-13,Pedro Miguel da Cruz,21,Masculino,pedro_miguel_da_cruz_378@cepedi.com,662,6.2434991190744515,,,Sim,3.0
387.026.914-69,Antônio Aragão,25,Masculino,antônio_aragão_387@cepedi.com,684,,,,Sim,1.0
148.693.057-39,Maria Julia Oliveira,22,Feminino,maria_julia_oliveira_148@cepedi.com,744,9.384158093065114,5.577809032826765,6.597705450568235,Não,
470.318.529-60,Eduarda da Luz,28,Feminino,eduarda_da_luz_470@cepedi.com,734,9.417776418215134,7.520766114075689,9.907693909615066,Não,
473.165.928-00,Maria Sophia Cardoso,22,Feminino,maria_sophia_cardoso_473@cepedi.com,651,,,,Sim,2.0
371.284.956-73,João Souza,22,Masculino,joão_souza_371@cepedi.com,721,,,,Sim,2.0
095.631.274-80,Isadora da Costa,18,Feminino,isadora_da_costa_095@cepedi.com,777,8.94584283859064,6.583846406025123,8.313727626265504,Sim,8.0
213.854.760-44,Vitor Gabriel Vieira,18,Masculino,vitor_gabriel_vieira_213@cepedi.com,675,7.3453046413195695,8.800234886676044,,Sim,6.0
198.670.253-77,Davi Luiz Moraes,20,Masculino,davi_luiz_moraes_198@cepedi.com,689,8.110881288446974,9.665275279642,7.878946645997438,Sim,8.0
980.162.734-40,Elisa da Mata,28,Feminino,elisa_da_mata_980@cepedi.com,781,6.9114159456948485,5.724552479406083,8.016313299382887,Não,
619.354.087-39,Raquel Melo,20,Feminino,raquel_melo_619@cepedi.com,760,8.956876962780937,9.59167712321998,7.276313441154723,Não,
854.036.712-26,Caio Moura,19,Masculino,caio_moura_854@cepedi.com,661,7.442504296570149,5.316765993735683,8.726733871177288,Não,
062.497.853-29,Vitor Hugo Moreira,28,Masculino,vitor_hugo_moreira_062@cepedi.com,791,9.030214923338331,6.395040581818919,5.715005197071977,Não,
639.248.571-64,Rodrigo Pereira,26,Masculino,rodrigo_pereira_639@cepedi.com,723,7.42034254988482,6.545227456048155,7.413122165820051,Não,
165.073.924-99,Sr. Davi Lucca Alves,22,Masculino,sr._davi_lucca_alves_165@cepedi.com,657,,,,Sim,2.0
146.397.025-07,Emilly Barbosa,21,Feminino,emilly_barbosa_146@cepedi.com,800,,,,Sim,2.0
579.160.234-07,Vitor Hugo Araújo,19,Masculino,vitor_hugo_araújo_579@cepedi.com,721,5.901169013008655,6.248363708886908,9.685617379550823,Não,
031.762.589-68,Antônio Moraes,26,Masculino,antônio_moraes_031@cepedi.com,794,9.188711493603073,5.034922083827616,9.52690535931156,Não,
815.647.923-82,Dr. Miguel Farias,26,Masculino,dr._miguel_farias_815@cepedi.com,685,6.334926589758609,9.753707149653989,5.98782709779824,Sim,8.0
675.241.839-09,Dr. Fernando Nunes,22,Masculino,dr._fernando_nunes_675@cepedi.com,657,5.491207874354919,9.48447861229366,7.72719092997548,Sim,7.0
607.432.195-70,Dr. Vitor Carvalho,19,Masculino,dr._vitor_carvalho_607@cepedi.com,661,8.285494243487328,,,Sim,4.0
208.653.419-15,Diego Aragão,18,Masculino,diego_aragão_208@cepedi.com,645,7.055496345461067,7.468051450798375,8.709177449983825,Não,
651.240.987-67,Gustavo Nunes,23,Masculino,gustavo_nunes_651@cepedi.com,648,5.072895930155804,7.848161253292095,6.63739771776648,Não,
934.276.051-16,Davi Aragão,24,Masculino,davi_aragão_934@cepedi.com,797,5.321678618818509,6.872278831188442,6.530247246371536,Não,
352.871.904-41,Sr. Emanuel Castro,19,Masculino,sr._emanuel_castro_352@cepedi.com,786,9.732234393856853,,,Sim,3.0
069.154.328-33,Olivia Nunes,25,Feminino,olivia_nunes_069@cepedi.com,702,5.383677316324383,9.632860155298617,7.470313348943993,Não,
134.520.869-33,Dra. Ana Júlia Fogaça,28,Feminino,dra._ana_júlia_fogaça_134@cepedi.com,750,8.609010752753155,9.021342898952284,,Sim,6.0
892.146.305-42,Melissa Correia,19,Feminino,melissa_correia_892@cepedi.com,797,6.763436777397885,9.101741467031044,7.668635357429365,Não,
283.057.496-65,Rodrigo Caldeira,26,Masculino,rodrigo_caldeira_283@cepedi.com,735,9.334015068949768,7.895691333786621,8.666750597279444,Não,
378.496.102-96,Joana Nogueira,23,Feminino,joana_nogueira_378@cepedi.com,781,7.325592267646268,8.247202957215727,7.471261339068695,Não,
703.418.625-17,Maria Sophia Novaes,19,Feminino,maria_sophia_novaes_703@cepedi.com,707,7.340307954726354,7.600278109739575,5.1881691905832215,Não,
479.205.681-02,Breno Teixeira,20,Masculino,breno_teixeira_479@cepedi.com,649,7.499654423217645,8.88153344860922,9.230311002463344,Não,
698.530.127-40,Dra. Luana Costela,27,Feminino,dra._luana_costela_698@cepedi.com,797,8.544610754698983,6.340009544676431,6.9773523672506155,Não,
620.745.318-26,Valentina Moraes,23,Feminino,valentina_moraes_620@cepedi.com,778,8.54185094374282,8.30922727609871,7.527820391781961,Sim,8.0
975.146.832-91,Dr. Enzo da Rosa,28,Masculino,dr._enzo_da_rosa_975@cepedi.com,680,8.956367262252085,5.003789018008854,6.9267935010750215,Sim,8.0
628.317.490-69,Lorenzo Novaes,19,Masculino,lorenzo_novaes_628@cepedi.com,795,9.54252603883484,9.279305275549028,6.92902439119009,Não,
372.509.184-60,Isis da Luz,24,Feminino,isis_da_luz_372@cepedi.com,714,5.44360220101747,5.011964606486456,,Sim,6.0
026.148.573-35,Ana Clara Azevedo,19,Feminino,ana_clara_azevedo_026@cepedi.com,752,5.581553220764752,9.761937475360096,9.97528157737053,Não,
970.854.216-49,Marcos Vinicius Carvalho,26,Masculino,marcos_vinicius_carvalho_970@cepedi.com,783,8.91500722502826,5.19011567758865,,Sim,6.0
391.847.625-19,Agatha Rocha,28,Feminino,agatha_rocha_391@cepedi.com,743,9.2872740786902,5.590407212627974,5.877150569119733,Não,
263.914.075-25,Emanuelly Dias,18,Feminino,emanuelly_dias_263@cepedi.com,768,8.295444267247657,5.5909438712727235,8.079574399978423,Sim,7.0
384.907.165-01,Luiz Fernando Rezende,22,Masculino,luiz_fernando_rezende_384@cepedi.com,750,7.247144484863261,8.802224187098133,,Sim,6.0
986.120.347-87,Alexia Santos,20,Feminino,alexia_santos_986@cepedi.com,671,9.325379754368221,,,Sim,3.0
903.642.578-65,Enzo Gabriel Cardoso,26,Masculino,enzo_gabriel_cardoso_903@cepedi.com,763,6.337367654548913,,,Sim,3.0
098.361.742-22,Dr. Pedro Henrique Nascimento,20,Masculino,dr._pedro_henrique_nascimento_098@cepedi.com,662,9.061527625955907,7.919615984840904,7.4428212080788825,Não,
276.594.180-76,Dra. Isabelly Almeida,23,Feminino,dra._isabelly_almeida_276@cepedi.com,705,9.162837270440281,7.829990688186681,,Sim,5.0
512.439.867-19,Emanuelly Lima,23,Feminino,emanuelly_lima_512@cepedi.com,730,7.855553762866194,6.587189594646656,6.267394527353683,Não,
493.520.168-15,Maria Sophia Cunha,21,Feminino,maria_sophia_cunha_493@cepedi.com,652,5.117561769971812,7.174230717655469,7.302210151871368,Não,
259.841.637-64,Lorenzo Souza,24,Masculino,lorenzo_souza_259@cepedi.com,647,,,,Sim,2.0
459.106.382-89,Maria Eduarda Moura,23,Feminino,maria_eduarda_moura_459@cepedi.com,655,8.826563596526542,6.326394330975207,,Sim,5.0
019.875.364-01,Clarice da Costa,28,Feminino,clarice_da_costa_019@cepedi.com,744,6.622261032294,8.816571295597466,,Sim,6.0
598.067.423-38,Antônio Rezende,25,Masculino,antônio_rezende_598@cepedi.com,641,7.645669235755957,6.10474764963306,5.543926662746431,Não,
278.493.105-60,Maria Fernanda Farias,27,Feminino,maria_fernanda_farias_278@cepedi.com,790,8.32019775726956,,,Sim,3.0
231.690.748-22,João Gabriel Lopes,22,Masculino,joão_gabriel_lopes_231@cepedi.com,751,8.29123363329598,9.66420072378795,9.981004825606508,Não,
196.745.820-02,Sr. Renan Rezende,19,Masculino,sr._renan_rezende_196@cepedi.com,686,6.672064509044558,8.744822437306347,5.38326743667317,Não,
013.825.946-15,Catarina Ramos,27,Feminino,catarina_ramos_013@cepedi.com,641,8.18396055139674,9.330166699977081,8.29024503151027,Não,
145.983.670-75,Dr. Yago Nascimento,20,Masculino,dr._yago_nascimento_145@cepedi.com,794,8.860386449163038,8.650276287047866,9.525924372108928,Não,
106.728.359-59,Raquel Nogueira,21,Feminino,raquel_nogueira_106@cepedi.com,652,8.446610360690846,,,Sim,3.0
368.275.094-00,Rodrigo Aragão,25,Masculino,rodrigo_aragão_368@cepedi.com,646,6.1138058845767915,6.843433259014081,8.802831314825996,Não,
561.392.740-52,Vitor Gabriel da Cruz,23,Masculino,vitor_gabriel_da_cruz_561@cepedi.com,784,,,,Sim,2.0
086.972.534-38,Maitê Farias,27,Feminino,maitê_farias_086@cepedi.com,659,7.054592564877857,7.279953476654109,7.893756023818101,Sim,7.0
876.192.540-30,Emanuella Campos,28,Feminino,emanuella_campos_876@cepedi.com,673,9.487171762029348,5.27490599347139,5.76320971845263,Não,
540.789.213-88,Levi Cavalcanti,25,Masculino,levi_cavalcanti_540@cepedi.com,752,6.87191805039232,,,Sim,3.0
462.589.307-00,Nina Dias,25,Feminino,nina_dias_462@cepedi.com,680,7.003498724040236,6.776661461586901,7.735394950745143,Não,
140.357.698-00,Lavínia Monteiro,23,Feminino,lavínia_monteiro_140@cepedi.com,737,8.725121322403776,7.935785615289818,6.078565504436688,Não,
819.754.632-00,Sabrina da Conceição,22,Feminino,sabrina_da_conceição_819@cepedi.com,686,7.529039486221655,9.903834481372117,6.7996824539695755,Não,
587.049.361-75,Levi Novaes,25,Masculino,levi_novaes_587@cepedi.com,702,7.340030009676541,5.703656813499197,7.295237763126554,Não,
490.687.531-93,Caio da Luz,21,Masculino,caio_da_luz_490@cepedi.com,772,8.168787078950691,5.2523091001930045,8.915027047977622,Não,
907.485.261-02,Heitor Araújo,20,Masculino,heitor_araújo_907@cepedi.com,747,8.468224090872365,5.337184623646685,9.472219326489094,Não,
574.902.683-38,Valentina Farias,22,Feminino,valentina_farias_574@cepedi.com,754,9.590145758370918,7.2346918767204045,9.169848410150516,Não,
548.627.093-38,Breno Aragão,18,Masculino,breno_aragão_548@cepedi.com,786,5.299636475773169,,,Sim,4.0
708.296.351-30,Sr. Luiz Otávio da Cruz,20,Masculino,sr._luiz_otávio_da_cruz_708@cepedi.com,766,6.050955807926973,5.584669151528611,8.063013403908016,Não,
847.139.625-46,Otávio da Mata,20,Masculino,otávio_da_mata_847@cepedi.com,768,9.637822511713207,5.303009110263669,7.256683939748575,Sim,8.0
164.705.839-20,Gustavo Henrique Cardoso,18,Masculino,gustavo_henrique_cardoso_164@cepedi.com,774,6.4684736116308,6.221698433744992,9.35973673870731,Sim,8.0
149.725.836-73,Ana Luiza da Cunha,28,Feminino,ana_luiza_da_cunha_149@cepedi.com,791,7.953942179530998,8.853892721865614,9.259658674472327,Não,
038.729.154-79,João Gabriel Rodrigues,23,Masculino,joão_gabriel_rodrigues_038@cepedi.com,760,5.656394023114889,8.415133133326579,5.341851414549916,Sim,7.0
349.752.601-07,Matheus Costa,18,Masculino,matheus_costa_349@cepedi.com,743,6.9030210410787225,7.75464235797108,5.375174346560508,Não,
316.925.704-80,Bárbara Sales,19,Feminino,bárbara_sales_316@cepedi.com,704,5.705491599141647,5.736534284799967,8.490302184738292,Não,
285.107.346-07,Sarah Fernandes,21,Feminino,sarah_fernandes_285@cepedi.com,681,6.867618732262765,5.915425447901013,9.225279230275389,Não,
920.564.817-58,Laís Peixoto,18,Feminino,laís_peixoto_920@cepedi.com,702,6.15550618204442,8.138329318960212,8.818637341028559,Não,
192.706.485-67,Luiz Fernando Duarte,26,Masculino,luiz_fernando_duarte_192@cepedi.com,676,8.10251006674485,,,Sim,4.0
810.293.765-30,Alexandre Cardoso,24,Masculino,alexandre_cardoso_810@cepedi.com,675,8.35754392236277,8.00911687627935,8.404149405565194,Não,
915.602.734-61,Luigi Pinto,22,Masculino,luigi_pinto_915@cepedi.com,706,9.65506331015257,9.41273927760595,8.335770574117564,Não,
785.203.194-32,Dr. Emanuel Dias,21,Masculino,dr._emanuel_dias_785@cepedi.com,788,,,,Sim,1.0
103.596.274-80,Clara Nogueira,22,Feminino,clara_nogueira_103@cepedi.com,679,6.552565342297756,,,Sim,4.0
297.065.814-30,Manuela Nogueira,24,Feminino,manuela_nogueira_297@cepedi.com,772,5.0400296568048395,8.8762088474273,,Sim,5.0
174.586.920-49,Sabrina Dias,20,Feminino,sabrina_dias_174@cepedi.com,753,5.953348648979721,8.521794973915817,7.235000285809075,Não,
403.986.721-13,Ana Lívia Nascimento,24,Feminino,ana_lívia_nascimento_403@cepedi.com,728,,,,Sim,1.0
341.620.879-03,Maria Alice Rodrigues,26,Feminino,maria_alice_rodrigues_341@cepedi.com,708,5.852901900673402,8.511787608836205,5.417425469869808,Não,
514.386.792-46,João Gabriel da Mata,22,Masculino,joão_gabriel_da_mata_514@cepedi.com,728,6.601046596803489,7.322870695181626,8.013728066747639,Não,
275.310.968-03,Maria Vitória da Rocha,23,Feminino,maria_vitória_da_rocha_275@cepedi.com,650,9.232138545037502,6.429758990990357,,Sim,6.0
380.956.247-56,Sr. Eduardo Dias,21,Masculino,sr._eduardo_dias_380@cepedi.com,712,6.538729959319737,7.861917908347009,7.964318815263788,Não,
291.564.387-37,Dr. Luiz Felipe Dias,19,Masculino,dr._luiz_felipe_dias_291@cepedi.com,731,5.673892061439835,9.81816433463282,5.029635649062897,Sim,8.0
408.137.695-66,Benício Cavalcanti,20,Masculino,benício_cavalcanti_408@cepedi.com,713,9.400507151965074,6.987321601567723,9.001376374742915,Sim,7.0
351.046.829-51,Julia da Mota,18,Feminino,julia_da_mota_351@cepedi.com,648,5.36640651347362,,,Sim,4.0
253.871.906-21,Mariane Fernandes,28,Feminino,mariane_fernandes_253@cepedi.com,670,7.00406500474489,9.652910583558068,,Sim,5.0
768.209.541-58,Emilly Farias,27,Feminino,emilly_farias_768@cepedi.com,697,8.497274146875508,6.223196857530895,7.106192297678618,Não,
601.872.493-69,Renan Gomes,24,Masculino,renan_gomes_601@cepedi.com,733,5.9491064194005725,,,Sim,3.0
892.047.351-04,Enzo Gabriel da Mota,28,Masculino,enzo_gabriel_da_mota_892@cepedi.com,675,8.937764794482561,8.485614695544772,6.674718172507466,Não,
612.094.857-02,Alana Gonçalves,19,Feminino,alana_gonçalves_612@cepedi.com,648,6.995720340067415,6.43993202108046,9.406474708975814,Não,
054.982.731-50,Dr. Nathan Monteiro,27,Masculino,dr._nathan_monteiro_054@cepedi.com,796,9.446211873556834,7.4950723009757105,8.200886985489825,Não,
201.389.754-50,Eduardo Monteiro,20,Masculino,eduardo_monteiro_201@cepedi.com,793,9.709317339562915,8.017545240771664,,Sim,6.0
860.415.927-49,Manuela da Costa,27,Feminino,manuela_da_costa_860@cepedi.com,695,,,,Sim,1.0
658.210.479-94,Sofia Ribeiro,26,Feminino,sofia_ribeiro_658@cepedi.com,754,9.068246466093324,5.049039673218411,5.083563017302075,Não,
357.924.680-10,Carolina Silveira,19,Feminino,carolina_silveira_357@cepedi.com,736,6.150380826546309,5.5482977822000725,6.350773915228533,Não,
736.814.029-22,Carlos Eduardo Moura,24,Masculino,carlos_eduardo_moura_736@cepedi.com,653,8.513894441980867,8.829795709434986,,Sim,6.0
946.537.180-75,Caio Gomes,22,Masculino,caio_gomes_946@cepedi.com,751,5.863326938339598,5.932636807800487,9.06209489255579,Não,
062.458.391-06,Enzo Gabriel Cavalcanti,19,Masculino,enzo_gabriel_cavalcanti_062@cepedi.com,697,7.2034581928113095,7.681346588441075,7.157250900652271,Não,
096.287.541-49,João Guilherme Barros,20,Masculino,joão_guilherme_barros_096@cepedi.com,689,6.026138532134174,7.852753955604586,6.7079500081902905,Sim,8.0
825.316.497-19,Vitor Hugo Moura,21,Masculino,vitor_hugo_moura_825@cepedi.com,703,5.793576877663492,7.691209812079457,5.734551728113196,Não,
403.165.279-80,Augusto Caldeira,28,Masculino,augusto_caldeira_403@cepedi.com,692,6.056254836496906,7.985670574947216,7.518851534887642,Não,
506.824.179-20,Vitor Hugo Cardoso,21,Masculino,vitor_hugo_cardoso_506@cepedi.com,729,,,,Sim,1.0
492.013.768-04,Davi Lucca Teixeira,28,Masculino,davi_lucca_teixeira_492@cepedi.com,701,7.944051400090482,5.628902345945891,9.566895445233499,Não,
036.459.812-33,Kevin da Mota,27,Masculino,kevin_da_mota_036@cepedi.com,733,8.082392399722789,8.165513691901506,8.03225571724105,Não,
459.206.817-30,Juan Cavalcanti,27,Masculino,juan_cavalcanti_459@cepedi.com,765,6.122372675344245,9.623312172249943,,Sim,5.0
783.165.029-68,Ana Fernandes,19,Feminino,ana_fernandes_783@cepedi.com,790,9.949262070761673,5.130990978244937,5.409167312516521,Não,
210.498.637-04,Francisco Nascimento,20,Masculino,francisco_nascimento_210@cepedi.com,693,,,,Sim,2.0
